"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","gender","edu","argument_ID","Arg_Position","Arguments","stanely_V","stanley_Nv","intellectual_v_1","intellectual_v_2","intellectual_v_3","intellectual_Nv_1","intellectual_Nv_2","intellectual_Nv_3","morality_v_1","morality_v_2","morality_v_3","morality_Nv_1","morality_Nv_2","morality_Nv_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
8,1647024731875,"11/03/2022 18:52:11",6024923,2,6,"Strongly Agree","statements",94,"Once or twice a year","A few times a year","Male","Undergraduate degree (BSc, BA)",2,"vegan","Being vegan helps in having a healthier way of living","Somewhat Agree",NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Pro",7,1160,398,"For","ANTI",0,1,1,0,0,1,1
11,1647024742066,"11/03/2022 18:52:22",6024923,2,9,"Strongly Agree","statements",97,"Rarely","Once or twice a year","Male","GCSEs",2,"vegan","It is healthier not to eat animal products.","Somewhat Agree",NA,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1178,398,"For","ANTI",0,1,1,0,0,1,1
14,1647024749818,"11/03/2022 18:52:29",6024923,2,12,"Strongly Agree","statements",95,"Rarely","Once or twice a year","Male","Undergraduate degree (BSc, BA)",3,"vegan","Morally the right thing to do, to be vegan.","Neither Agree nor Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,1167,398,"For","ANTI",0,1,1,0,0,1,1
15,1647024756133,"11/03/2022 18:52:36",6024923,2,13,"Neither Agree nor Disagree","statements",93,"Never","Rarely","Male","Vocational Training / Apprenticeship",3,"vegan","Doing for a partner or loved one because you both agreed to take on a new challenge to not eat meat.","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",4,1155,398,"For","ANTI",0,1,1,0,0,0,0
16,1647024760697,"11/03/2022 18:52:40",6024923,2,14,"Somewhat Disagree","statements",100,"Rarely","Most months","Male","No formal qualifications",3,"vegan","It is trendy and I want to try it","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",3,1197,398,"For","ANTI",0,1,1,0,0,0,0
17,1647024763258,"11/03/2022 18:52:43",6024923,2,15,"Strongly Agree","statements",96,"A few times a year","Most months","Male","GCSEs,Vocational Training / Apprenticeship,A levels",3,"vegan","It helps to maintain your diet and well-being","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1173,398,"For","ANTI",0,1,1,0,0,1,1
21,1647024781536,"11/03/2022 18:53:01",6024923,2,19,"Strongly Agree","statements",91,"Once or twice a year","A few times a year","Male","Vocational Training / Apprenticeship",2,"vegan","Have a healthy life style","Agree",NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1142,398,"For","ANTI",0,1,1,0,0,1,1
26,1647024811772,"11/03/2022 18:53:31",6024923,2,24,"Strongly Agree","statements",98,"A few times a year","A few times a year","Female","Undergraduate degree (BSc, BA)",1,"vegan","to not kill animals because they don't deserv to die just to be eaten ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1183,398,"For","ANTI",0,1,1,0,0,1,1
28,1647024818233,"11/03/2022 18:53:38",6024923,2,26,"Strongly Agree","statements",98,"A few times a year","A few times a year","Female","Undergraduate degree (BSc, BA)",2,"vegan","to eat better, because eating vegetable is better than eating animals","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1184,398,"For","ANTI",0,1,1,0,0,1,1
30,1647024822510,"11/03/2022 18:53:42",6024923,2,28,"Strongly Agree","statements",95,"Rarely","Once or twice a year","Male","Undergraduate degree (BSc, BA)",2,"vegan","It's good for the planet.","Neither Agree nor Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,1166,398,"For","ANTI",0,1,1,0,0,1,1
31,1647024825140,"11/03/2022 18:53:45",6024923,2,29,"Strongly Agree","statements",100,"Rarely","Most months","Male","No formal qualifications",1,"vegan","Desire to save animals from death and mistreatment","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1195,398,"For","ANTI",0,1,1,0,0,1,1
34,1647024837263,"11/03/2022 18:53:57",6024923,2,32,"Strongly Agree","statements",95,"Rarely","Once or twice a year","Male","Undergraduate degree (BSc, BA)",1,"vegan","Against animal cruelty","Neither Agree nor Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,1165,398,"For","ANTI",0,1,1,0,0,1,1
35,1647024839804,"11/03/2022 18:53:59",6024923,2,33,"Strongly Agree","statements",93,"Never","Rarely","Male","Vocational Training / Apprenticeship",1,"vegan","Protecting all animals from animal cruelty","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1153,398,"For","ANTI",0,1,1,0,0,1,1
36,1647024846562,"11/03/2022 18:54:06",6024923,2,34,"Neither Agree nor Disagree","statements",97,"Rarely","Once or twice a year","Male","GCSEs",3,"vegan","I'm really hard-pressed to provide a third reason. Maybe some kind of religious reason.","Somewhat Agree",NA,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,1179,398,"For","ANTI",0,1,1,0,0,0,0
39,1647024860832,"11/03/2022 18:54:20",6024923,2,37,"Strongly Agree","statements",91,"Once or twice a year","A few times a year","Male","Vocational Training / Apprenticeship",3,"vegan","Save the planet and help the environment","Agree",NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1143,398,"For","ANTI",0,1,1,0,0,1,1
40,1647024863964,"11/03/2022 18:54:23",6024923,2,38,"Strongly Agree","statements",99,"A few times a year","Most months","Female","Doctorate (PhD)",3,"vegan","Meat may contain hormones that increase the risk of developing cancer","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1191,398,"For","ANTI",0,1,1,0,0,1,1
45,1647024881182,"11/03/2022 18:54:41",6024923,2,43,"Strongly Agree","statements",92,"Rarely","Rarely","Male","A levels",2,"vegan","You can't stand by and watch animals get hurt.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1148,398,"For","ANTI",0,1,1,0,0,1,1
47,1647024901280,"11/03/2022 18:55:01",6024923,2,45,"Strongly Agree","statements",98,"A few times a year","A few times a year","Female","Undergraduate degree (BSc, BA)",3,"vegan","because of the environment, because the secretions contribute to 
global warming and we must not creat animals just to eat, only to live in peace","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1185,398,"For","ANTI",0,1,1,0,0,1,1
48,1647024903693,"11/03/2022 18:55:03",6024923,2,46,"Strongly Agree","statements",99,"A few times a year","Most months","Female","Doctorate (PhD)",2,"vegan","Meat increases health risks","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1190,398,"For","ANTI",0,1,1,0,0,1,1
49,1647024907552,"11/03/2022 18:55:07",6024923,2,47,"Strongly Agree","statements",96,"A few times a year","Most months","Male","GCSEs,Vocational Training / Apprenticeship,A levels",2,"vegan","By eating vegan dishes you help animals","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1172,398,"For","ANTI",0,1,1,0,0,1,1
50,1647024913050,"11/03/2022 18:55:13",6024923,2,48,"Strongly Agree","statements",96,"A few times a year","Most months","Male","GCSEs,Vocational Training / Apprenticeship,A levels",1,"vegan","The vegan food is tasty and healthy","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1171,398,"For","ANTI",0,1,1,0,0,1,1
53,1647024927740,"11/03/2022 18:55:27",6024923,2,51,"Strongly Agree","statements",99,"A few times a year","Most months","Female","Doctorate (PhD)",1,"vegan","To obtain the meat the animals suffer","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1189,398,"For","ANTI",0,1,1,0,0,1,1
54,1647024937324,"11/03/2022 18:55:37",6024923,2,52,"Strongly Agree","statements",97,"Rarely","Once or twice a year","Male","GCSEs",1,"vegan","I do not want to hurt animals, nor consume products that are made by causing discomfort to animals.","Somewhat Agree",NA,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1177,398,"For","ANTI",0,1,1,0,0,1,1
55,1647024938710,"11/03/2022 18:55:38",6024923,2,53,"Strongly Agree","statements",92,"Rarely","Rarely","Male","A levels",1,"vegan","I don't  like meat.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1147,398,"For","ANTI",0,1,1,0,0,1,1
57,1647024948413,"11/03/2022 18:55:48",6024923,2,55,"Strongly Agree","statements",94,"Once or twice a year","A few times a year","Male","Undergraduate degree (BSc, BA)",1,"vegan","The first one I think should be that being vegan helps in not killing animals","Somewhat Agree",NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Pro",7,1159,398,"For","ANTI",0,1,1,0,0,1,1
58,1647024949926,"11/03/2022 18:55:49",6024923,2,56,"Strongly Agree","statements",91,"Once or twice a year","A few times a year","Male","Vocational Training / Apprenticeship",1,"vegan","To take care of the animals","Agree",NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1141,398,"For","ANTI",0,1,1,0,0,1,1
59,1647024971136,"11/03/2022 18:56:11",6024923,2,57,"Somewhat Agree","statements",94,"Once or twice a year","A few times a year","Male","Undergraduate degree (BSc, BA)",3,"vegan","Maybe that being vegan helps in the way that you can produce your own food and you don't need the big industries","Somewhat Agree",NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Pro",5,1161,398,"For","ANTI",0,1,1,0,0,0,0
61,1647024979435,"11/03/2022 18:56:19",6024923,2,59,"Somewhat Agree","statements",92,"Rarely","Rarely","Male","A levels",3,"vegan","They have health problems that do not allow them to eat meat.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,1149,398,"For","ANTI",0,1,1,0,0,0,0
5,1647075868706,"12/03/2022 09:04:28",6026679,2,3,"Disagree","statements",97,"Rarely","Once or twice a year","Male","GCSEs",3,"vegan","I'm really hard-pressed to provide a third reason. Maybe some kind of religious reason.","Somewhat Agree",NA,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",2,1179,399,"For","ANTI",0,1,1,0,0,0,0
9,1647075885948,"12/03/2022 09:04:45",6026679,2,7,"Strongly Agree","statements",99,"A few times a year","Most months","Female","Doctorate (PhD)",1,"vegan","To obtain the meat the animals suffer","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1189,399,"For","ANTI",0,1,1,0,0,1,1
11,1647075893079,"12/03/2022 09:04:53",6026679,2,9,"Strongly Agree","statements",96,"A few times a year","Most months","Male","GCSEs,Vocational Training / Apprenticeship,A levels",2,"vegan","By eating vegan dishes you help animals","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1172,399,"For","ANTI",0,1,1,0,0,1,1
13,1647075913556,"12/03/2022 09:05:13",6026679,2,11,"Strongly Agree","statements",98,"A few times a year","A few times a year","Female","Undergraduate degree (BSc, BA)",3,"vegan","because of the environment, because the secretions contribute to 
global warming and we must not creat animals just to eat, only to live in peace","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1185,399,"For","ANTI",0,1,1,0,0,1,1
16,1647075938852,"12/03/2022 09:05:38",6026679,2,14,"Strongly Agree","statements",98,"A few times a year","A few times a year","Female","Undergraduate degree (BSc, BA)",1,"vegan","to not kill animals because they don't deserv to die just to be eaten ","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1183,399,"For","ANTI",0,1,1,0,0,1,1
17,1647075942240,"12/03/2022 09:05:42",6026679,2,15,"Strongly Agree","statements",96,"A few times a year","Most months","Male","GCSEs,Vocational Training / Apprenticeship,A levels",1,"vegan","The vegan food is tasty and healthy","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1171,399,"For","ANTI",0,1,1,0,0,1,1
18,1647075952837,"12/03/2022 09:05:52",6026679,2,16,"Neither Agree nor Disagree","statements",93,"Never","Rarely","Male","Vocational Training / Apprenticeship",2,"vegan","Changing thier diet ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",4,1154,399,"For","ANTI",0,1,1,0,0,0,0
20,1647075965888,"12/03/2022 09:06:05",6026679,2,18,"Strongly Agree","statements",99,"A few times a year","Most months","Female","Doctorate (PhD)",2,"vegan","Meat increases health risks","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1190,399,"For","ANTI",0,1,1,0,0,1,1
21,1647076001267,"12/03/2022 09:06:41",6026679,2,19,"Agree","statements",91,"Once or twice a year","A few times a year","Male","Vocational Training / Apprenticeship",1,"vegan","To take care of the animals","Agree",NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,1141,399,"For","ANTI",0,1,1,0,0,1,1
22,1647076006662,"12/03/2022 09:06:46",6026679,2,20,"Strongly Agree","statements",97,"Rarely","Once or twice a year","Male","GCSEs",1,"vegan","I do not want to hurt animals, nor consume products that are made by causing discomfort to animals.","Somewhat Agree",NA,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1177,399,"For","ANTI",0,1,1,0,0,1,1
23,1647076014966,"12/03/2022 09:06:54",6026679,2,21,"Strongly Agree","statements",100,"Rarely","Most months","Male","No formal qualifications",1,"vegan","Desire to save animals from death and mistreatment","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1195,399,"For","ANTI",0,1,1,0,0,1,1
24,1647076022045,"12/03/2022 09:07:02",6026679,2,22,"Disagree","statements",93,"Never","Rarely","Male","Vocational Training / Apprenticeship",3,"vegan","Doing for a partner or loved one because you both agreed to take on a new challenge to not eat meat.","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",2,1155,399,"For","ANTI",0,1,1,0,0,0,0
28,1647076048293,"12/03/2022 09:07:28",6026679,2,26,"Agree","statements",96,"A few times a year","Most months","Male","GCSEs,Vocational Training / Apprenticeship,A levels",3,"vegan","It helps to maintain your diet and well-being","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,1173,399,"For","ANTI",0,1,1,0,0,1,1
29,1647076053230,"12/03/2022 09:07:33",6026679,2,27,"Agree","statements",99,"A few times a year","Most months","Female","Doctorate (PhD)",3,"vegan","Meat may contain hormones that increase the risk of developing cancer","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,1191,399,"For","ANTI",0,1,1,0,0,1,1
33,1647076096148,"12/03/2022 09:08:16",6026679,2,31,"Neither Agree nor Disagree","statements",92,"Rarely","Rarely","Male","A levels",3,"vegan","They have health problems that do not allow them to eat meat.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",4,1149,399,"For","ANTI",0,1,1,0,0,0,0
37,1647076108102,"12/03/2022 09:08:28",6026679,2,35,"Somewhat Agree","statements",100,"Rarely","Most months","Male","No formal qualifications",2,"vegan","I think it's healthier","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",5,1196,399,"For","ANTI",0,1,1,0,0,0,0
38,1647076123452,"12/03/2022 09:08:43",6026679,2,36,"Strongly Agree","statements",92,"Rarely","Rarely","Male","A levels",2,"vegan","You can't stand by and watch animals get hurt.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1148,399,"For","ANTI",0,1,1,0,0,1,1
41,1647076132701,"12/03/2022 09:08:52",6026679,2,39,"Neither Agree nor Disagree","statements",100,"Rarely","Most months","Male","No formal qualifications",3,"vegan","It is trendy and I want to try it","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",4,1197,399,"For","ANTI",0,1,1,0,0,0,0
43,1647076151847,"12/03/2022 09:09:11",6026679,2,41,"Agree","statements",92,"Rarely","Rarely","Male","A levels",1,"vegan","I don't  like meat.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,1147,399,"For","ANTI",0,1,1,0,0,1,1
44,1647076156207,"12/03/2022 09:09:16",6026679,2,42,"Agree","statements",98,"A few times a year","A few times a year","Female","Undergraduate degree (BSc, BA)",2,"vegan","to eat better, because eating vegetable is better than eating animals","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,1184,399,"For","ANTI",0,1,1,0,0,1,1
48,1647076249358,"12/03/2022 09:10:49",6026679,2,46,"Strongly Agree","statements",95,"Rarely","Once or twice a year","Male","Undergraduate degree (BSc, BA)",2,"vegan","It's good for the planet.","Neither Agree nor Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,1166,399,"For","ANTI",0,1,1,0,0,1,1
52,1647076270588,"12/03/2022 09:11:10",6026679,2,50,"Agree","statements",97,"Rarely","Once or twice a year","Male","GCSEs",2,"vegan","It is healthier not to eat animal products.","Somewhat Agree",NA,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,1178,399,"For","ANTI",0,1,1,0,0,1,1
54,1647076292147,"12/03/2022 09:11:32",6026679,2,52,"Agree","statements",91,"Once or twice a year","A few times a year","Male","Vocational Training / Apprenticeship",2,"vegan","Have a healthy life style","Agree",NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,1142,399,"For","ANTI",0,1,1,0,0,1,1
55,1647076306350,"12/03/2022 09:11:46",6026679,2,53,"Strongly Agree","statements",94,"Once or twice a year","A few times a year","Male","Undergraduate degree (BSc, BA)",2,"vegan","Being vegan helps in having a healthier way of living","Somewhat Agree",NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Pro",7,1160,399,"For","ANTI",0,1,1,0,0,1,1
56,1647076307934,"12/03/2022 09:11:47",6026679,2,54,"Strongly Agree","statements",91,"Once or twice a year","A few times a year","Male","Vocational Training / Apprenticeship",3,"vegan","Save the planet and help the environment","Agree",NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1143,399,"For","ANTI",0,1,1,0,0,1,1
60,1647076326052,"12/03/2022 09:12:06",6026679,2,58,"Strongly Agree","statements",95,"Rarely","Once or twice a year","Male","Undergraduate degree (BSc, BA)",1,"vegan","Against animal cruelty","Neither Agree nor Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,1165,399,"For","ANTI",0,1,1,0,0,1,1
61,1647076334315,"12/03/2022 09:12:14",6026679,2,59,"Agree","statements",94,"Once or twice a year","A few times a year","Male","Undergraduate degree (BSc, BA)",3,"vegan","Maybe that being vegan helps in the way that you can produce your own food and you don't need the big industries","Somewhat Agree",NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Pro",6,1161,399,"For","ANTI",0,1,1,0,0,1,1
62,1647076337863,"12/03/2022 09:12:17",6026679,2,60,"Strongly Agree","statements",95,"Rarely","Once or twice a year","Male","Undergraduate degree (BSc, BA)",3,"vegan","Morally the right thing to do, to be vegan.","Neither Agree nor Disagree",NA,"Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Somewhat Disagree",NA,NA,NA,"Pro",7,1167,399,"For","ANTI",0,1,1,0,0,1,1
63,1647076349305,"12/03/2022 09:12:29",6026679,2,61,"Agree","statements",94,"Once or twice a year","A few times a year","Male","Undergraduate degree (BSc, BA)",1,"vegan","The first one I think should be that being vegan helps in not killing animals","Somewhat Agree",NA,"Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Pro",6,1159,399,"For","ANTI",0,1,1,0,0,1,1
64,1647076376553,"12/03/2022 09:12:56",6026679,2,62,"Agree","statements",93,"Never","Rarely","Male","Vocational Training / Apprenticeship",1,"vegan","Protecting all animals from animal cruelty","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,1153,399,"For","ANTI",0,1,1,0,0,1,1
5,1647024448893,"11/03/2022 18:47:28",6024807,2,2,"Strongly Agree","statements",100,"Rarely","Most months","Male","No formal qualifications",2,"vegan","I think it's healthier","Neither Agree nor Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1196,400,"For","ANTI",0,1,1,0,0,1,1
6,1647024450644,"11/03/2022 18:47:30",6024807,2,3,"Strongly Agree","statements",99,"A few times a year","Most months","Female","Doctorate (PhD)",2,"vegan","Meat increases health risks","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1190,400,"For","ANTI",0,1,1,0,0,1,1
8,1647024453995,"11/03/2022 18:47:33",6024807,2,5,"Strongly Agree","statements",96,"A few times a year","Most months","Male","GCSEs,Vocational Training / Apprenticeship,A levels",2,"vegan","By eating vegan dishes you help animals","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,1172,400,"For","ANTI",0,1,1,0,0,1,1
12,1647024468485,"11/03/2022 18:47:48",6024807,2,9,"Strongly Agree","statements",97,"Rarely","Once or twice a year","Male","GCSEs",2,"vegan","It is healthier not to eat animal products.","Somewhat Agree",NA,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,1178,400,"For","ANTI",0,1,1,0,0,1,1
