"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers","passedITT","passed_relative_ITT"
23,1651571005288,"03/05/2022 09:43:25",6396426,4,21,"Agree","statements",23,"Rarely","Never",50,"Female","Undergraduate degree (BSc, BA)",5,"Remain","Access to the single market","Neither Agree nor Disagree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,137,28,"Against","PRO",1,0,1,0,0,1,1
25,1651571010872,"03/05/2022 09:43:30",6396426,4,23,"Strongly Agree","statements",25,"Once or twice a year","A few times a year",56,"Female","Undergraduate degree (BSc, BA)",4,"Remain","we need to be part of europe and have strong ties with them ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,148,28,"Against","PRO",1,0,1,0,0,1,1
26,1651571012206,"03/05/2022 09:43:32",6396426,4,24,"Disagree","statements",22,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",4,"Remain","for the UK to keep freedom of movement","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",2,130,28,"Against","PRO",1,0,1,0,0,0,0
28,1651571016233,"03/05/2022 09:43:36",6396426,4,26,"Neither Agree nor Disagree","statements",26,"Rarely","Rarely",58,"Female","GCSEs",4,"Remain","I do the low paid jobs the English won't do","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Anti",4,154,28,"Against","PRO",1,0,1,0,0,0,0
29,1651571018285,"03/05/2022 09:43:38",6396426,4,27,"Strongly Agree","statements",26,"Rarely","Rarely",58,"Female","GCSEs",5,"Remain","Goods can travel in and out of the country with less checks and paperwork","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Anti",7,155,28,"Against","PRO",1,0,1,0,0,1,1
32,1651571030248,"03/05/2022 09:43:50",6396426,4,30,"Disagree","statements",21,"A few times a year","A few times a year",36,"Female","A levels",4,"Remain","We are better off together than we are on out on our own","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",2,124,28,"Against","PRO",1,0,1,0,0,0,0
33,1651571031726,"03/05/2022 09:43:51",6396426,4,31,"Neither Agree nor Disagree","statements",24,"A few times a year","Rarely",31,"Female","GCSEs,A levels",6,"Remain","Trade deals already in place ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",4,144,28,"Against","PRO",1,0,1,0,0,0,0
35,1651571034228,"03/05/2022 09:43:54",6396426,4,33,"Neither Agree nor Disagree","statements",27,"Rarely","Most weeks",27,"Female","A levels",5,"Remain","People might not want things to change","Somewhat Agree",NA,"Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",4,161,28,"Against","PRO",1,0,1,0,0,0,0
39,1651571043007,"03/05/2022 09:44:03",6396426,4,37,"Disagree","statements",22,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",5,"Remain","to benefit from trade without borders","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",2,131,28,"Against","PRO",1,0,1,0,0,0,0
41,1651571045597,"03/05/2022 09:44:05",6396426,4,39,"Neither Agree nor Disagree","statements",30,"Rarely","Rarely",57,"Female","Vocational Training / Apprenticeship",4,"Remain","Don't change to what you don't know.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",4,178,28,"Against","PRO",1,0,1,0,0,0,0
42,1651571048008,"03/05/2022 09:44:08",6396426,4,40,"Disagree","statements",22,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",6,"Remain","to not need to set laws as these would be designed in ECJ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",2,132,28,"Against","PRO",1,0,1,0,0,0,0
44,1651571051912,"03/05/2022 09:44:11",6396426,4,42,"Agree","statements",30,"Rarely","Rarely",57,"Female","Vocational Training / Apprenticeship",6,"Remain","Free passage to go and live in other European countries and be able to work there.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",6,180,28,"Against","PRO",1,0,1,0,0,1,1
47,1651571056234,"03/05/2022 09:44:16",6396426,4,45,"Agree","statements",30,"Rarely","Rarely",57,"Female","Vocational Training / Apprenticeship",5,"Remain","Free trade within Europe","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",6,179,28,"Against","PRO",1,0,1,0,0,1,1
48,1651571057865,"03/05/2022 09:44:17",6396426,4,46,"Agree","statements",29,"A few times a year","A few times a year",39,"Male","A levels",6,"Remain","Free movement over boarders","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,174,28,"Against","PRO",1,0,1,0,0,1,1
53,1651571066417,"03/05/2022 09:44:26",6396426,4,51,"Disagree","statements",28,"Rarely","Rarely",48,"Female","A levels",5,"Remain","To allow 'us' to appear stronger (in various ways) to the rest of the world","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",2,167,28,"Against","PRO",1,0,1,0,0,0,0
62,1651571079807,"03/05/2022 09:44:39",6396426,4,60,"Disagree","statements",23,"Rarely","Never",50,"Female","Undergraduate degree (BSc, BA)",4,"Remain","Lots of European businesses invest in Britain","Neither Agree nor Disagree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",2,136,28,"Against","PRO",1,0,1,0,0,0,0
64,1651571082786,"03/05/2022 09:44:42",6396426,4,62,"Disagree","statements",25,"Once or twice a year","A few times a year",56,"Female","Undergraduate degree (BSc, BA)",5,"Remain","all the issues that we would have by leaving like import and export issues ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",2,149,28,"Against","PRO",1,0,1,0,0,0,0
3,1651570978412,"03/05/2022 09:42:58",6396376,4,1,"Neither Agree nor Disagree","statements",22,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",6,"Remain","to not need to set laws as these would be designed in ECJ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",4,132,29,"Against","PRO",1,0,1,0,0,0,0
6,1651571008947,"03/05/2022 09:43:28",6396376,4,4,"Agree","statements",29,"A few times a year","A few times a year",39,"Male","A levels",5,"Remain","Security of the block","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,173,29,"Against","PRO",1,0,1,0,0,1,1
7,1651571013098,"03/05/2022 09:43:33",6396376,4,5,"Somewhat Agree","statements",30,"Rarely","Rarely",57,"Female","Vocational Training / Apprenticeship",5,"Remain","Free trade within Europe","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",5,179,29,"Against","PRO",1,0,1,0,0,0,1
9,1651571026659,"03/05/2022 09:43:46",6396376,4,7,"Agree","statements",26,"Rarely","Rarely",58,"Female","GCSEs",5,"Remain","Goods can travel in and out of the country with less checks and paperwork","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Anti",6,155,29,"Against","PRO",1,0,1,0,0,1,1
11,1651571035936,"03/05/2022 09:43:55",6396376,4,9,"Somewhat Agree","statements",27,"Rarely","Most weeks",27,"Female","A levels",5,"Remain","People might not want things to change","Somewhat Agree",NA,"Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",5,161,29,"Against","PRO",1,0,1,0,0,0,1
12,1651571039972,"03/05/2022 09:43:59",6396376,4,10,"Somewhat Agree","statements",29,"A few times a year","A few times a year",39,"Male","A levels",4,"Remain","Being in the EU is a good thing","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,172,29,"Against","PRO",1,0,1,0,0,0,1
14,1651571051840,"03/05/2022 09:44:11",6396376,4,12,"Agree","statements",21,"A few times a year","A few times a year",36,"Female","A levels",5,"Remain","It is better to be part of the European single market for imports and exports ","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",6,125,29,"Against","PRO",1,0,1,0,0,1,1
15,1651571055859,"03/05/2022 09:44:15",6396376,4,13,"Neither Agree nor Disagree","statements",23,"Rarely","Never",50,"Female","Undergraduate degree (BSc, BA)",6,"Remain","To attract workers from the EU to fill vacancies that are hard to recruit for","Neither Agree nor Disagree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",4,138,29,"Against","PRO",1,0,1,0,0,0,0
17,1651571063481,"03/05/2022 09:44:23",6396376,4,15,"Strongly Agree","statements",27,"Rarely","Most weeks",27,"Female","A levels",6,"Remain","People might not know the risks","Somewhat Agree",NA,"Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",7,162,29,"Against","PRO",1,0,1,0,0,1,1
19,1651571073172,"03/05/2022 09:44:33",6396376,4,17,"Somewhat Disagree","statements",26,"Rarely","Rarely",58,"Female","GCSEs",6,"Remain","Better to be part of Europe as safety in numbers","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Anti",3,156,29,"Against","PRO",1,0,1,0,0,0,0
20,1651571081739,"03/05/2022 09:44:41",6396376,4,18,"Somewhat Agree","statements",21,"A few times a year","A few times a year",36,"Female","A levels",4,"Remain","We are better off together than we are on out on our own","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",5,124,29,"Against","PRO",1,0,1,0,0,0,1
25,1651571112707,"03/05/2022 09:45:12",6396376,4,23,"Disagree","statements",28,"Rarely","Rarely",48,"Female","A levels",5,"Remain","To allow 'us' to appear stronger (in various ways) to the rest of the world","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",2,167,29,"Against","PRO",1,0,1,0,0,0,0
26,1651571117366,"03/05/2022 09:45:17",6396376,4,24,"Neither Agree nor Disagree","statements",30,"Rarely","Rarely",57,"Female","Vocational Training / Apprenticeship",6,"Remain","Free passage to go and live in other European countries and be able to work there.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",4,180,29,"Against","PRO",1,0,1,0,0,0,0
27,1651571124924,"03/05/2022 09:45:24",6396376,4,25,"Somewhat Agree","statements",22,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",4,"Remain","for the UK to keep freedom of movement","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",5,130,29,"Against","PRO",1,0,1,0,0,0,1
29,1651571135847,"03/05/2022 09:45:35",6396376,4,27,"Neither Agree nor Disagree","statements",25,"Once or twice a year","A few times a year",56,"Female","Undergraduate degree (BSc, BA)",4,"Remain","we need to be part of europe and have strong ties with them ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",4,148,29,"Against","PRO",1,0,1,0,0,0,0
32,1651571150718,"03/05/2022 09:45:50",6396376,4,30,"Strongly Agree","statements",21,"A few times a year","A few times a year",36,"Female","A levels",6,"Remain","The amount of money stated by the government to be saved by braking away is severely overstated ","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",7,126,29,"Against","PRO",1,0,1,0,0,1,1
34,1651571155535,"03/05/2022 09:45:55",6396376,4,32,"Somewhat Agree","statements",23,"Rarely","Never",50,"Female","Undergraduate degree (BSc, BA)",5,"Remain","Access to the single market","Neither Agree nor Disagree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,137,29,"Against","PRO",1,0,1,0,0,0,1
35,1651571157769,"03/05/2022 09:45:57",6396376,4,33,"Somewhat Disagree","statements",29,"A few times a year","A few times a year",39,"Male","A levels",6,"Remain","Free movement over boarders","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",3,174,29,"Against","PRO",1,0,1,0,0,0,0
36,1651571165643,"03/05/2022 09:46:05",6396376,4,34,"Somewhat Disagree","statements",24,"A few times a year","Rarely",31,"Female","GCSEs,A levels",4,"Remain","The freedom of movement between EU countries gives more opportunities to people","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",3,142,29,"Against","PRO",1,0,1,0,0,0,0
39,1651571180387,"03/05/2022 09:46:20",6396376,4,37,"Somewhat Disagree","statements",28,"Rarely","Rarely",48,"Female","A levels",4,"Remain","To have allies on our side","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",3,166,29,"Against","PRO",1,0,1,0,0,0,0
45,1651571216323,"03/05/2022 09:46:56",6396376,4,43,"Somewhat Agree","statements",25,"Once or twice a year","A few times a year",56,"Female","Undergraduate degree (BSc, BA)",5,"Remain","all the issues that we would have by leaving like import and export issues ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,149,29,"Against","PRO",1,0,1,0,0,0,1
51,1651571253479,"03/05/2022 09:47:33",6396376,4,49,"Somewhat Disagree","statements",30,"Rarely","Rarely",57,"Female","Vocational Training / Apprenticeship",4,"Remain","Don't change to what you don't know.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",3,178,29,"Against","PRO",1,0,1,0,0,0,0
52,1651571257665,"03/05/2022 09:47:37",6396376,4,50,"Somewhat Agree","statements",25,"Once or twice a year","A few times a year",56,"Female","Undergraduate degree (BSc, BA)",6,"Remain","there are lots of good acts and safety issues that have come from Europe which has helped people here in the UK","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,150,29,"Against","PRO",1,0,1,0,0,0,1
53,1651571260890,"03/05/2022 09:47:40",6396376,4,51,"Agree","statements",23,"Rarely","Never",50,"Female","Undergraduate degree (BSc, BA)",4,"Remain","Lots of European businesses invest in Britain","Neither Agree nor Disagree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",6,136,29,"Against","PRO",1,0,1,0,0,1,1
54,1651571264428,"03/05/2022 09:47:44",6396376,4,52,"Agree","statements",24,"A few times a year","Rarely",31,"Female","GCSEs,A levels",6,"Remain","Trade deals already in place ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",6,144,29,"Against","PRO",1,0,1,0,0,1,1
56,1651571275699,"03/05/2022 09:47:55",6396376,4,54,"Somewhat Disagree","statements",27,"Rarely","Most weeks",27,"Female","A levels",4,"Remain","I'm happy with the way things are","Somewhat Agree",NA,"Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",3,160,29,"Against","PRO",1,0,1,0,0,0,0
60,1651571304058,"03/05/2022 09:48:24",6396376,4,58,"Agree","statements",22,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",5,"Remain","to benefit from trade without borders","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",6,131,29,"Against","PRO",1,0,1,0,0,1,1
61,1651571306339,"03/05/2022 09:48:26",6396376,4,59,"Somewhat Agree","statements",28,"Rarely","Rarely",48,"Female","A levels",6,"Remain","For financial reasons","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,168,29,"Against","PRO",1,0,1,0,0,0,1
62,1651571309975,"03/05/2022 09:48:29",6396376,4,60,"Neither Agree nor Disagree","statements",24,"A few times a year","Rarely",31,"Female","GCSEs,A levels",5,"Remain","Financial stability being with the EU","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",4,143,29,"Against","PRO",1,0,1,0,0,0,0
63,1651571316550,"03/05/2022 09:48:36",6396376,4,61,"Somewhat Disagree","statements",26,"Rarely","Rarely",58,"Female","GCSEs",4,"Remain","I do the low paid jobs the English won't do","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Anti",3,154,29,"Against","PRO",1,0,1,0,0,0,0
5,1651572179329,"03/05/2022 10:02:59",6396668,4,3,"Strongly Disagree","statements",22,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",4,"Remain","for the UK to keep freedom of movement","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",1,130,30,"Against","PRO",1,0,1,0,0,0,0
6,1651572183218,"03/05/2022 10:03:03",6396668,4,4,"Somewhat Agree","statements",27,"Rarely","Most weeks",27,"Female","A levels",4,"Remain","I'm happy with the way things are","Somewhat Agree",NA,"Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",5,160,30,"Against","PRO",1,0,1,0,0,0,1
7,1651572186235,"03/05/2022 10:03:06",6396668,4,5,"Strongly Disagree","statements",26,"Rarely","Rarely",58,"Female","GCSEs",5,"Remain","Goods can travel in and out of the country with less checks and paperwork","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree",NA,NA,NA,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree",NA,NA,NA,"Anti",1,155,30,"Against","PRO",1,0,1,0,0,0,0
8,1651572195865,"03/05/2022 10:03:15",6396668,4,6,"Strongly Agree","statements",24,"A few times a year","Rarely",31,"Female","GCSEs,A levels",4,"Remain","The freedom of movement between EU countries gives more opportunities to people","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",7,142,30,"Against","PRO",1,0,1,0,0,1,1
9,1651572203472,"03/05/2022 10:03:23",6396668,4,7,"Neither Agree nor Disagree","statements",22,"Most months","Most weeks",61,"Male","Postgraduate degree (MSc, MA, MPhil)",6,"Remain","to not need to set laws as these would be designed in ECJ","Neither Agree nor Disagree",NA,"Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",4,132,30,"Against","PRO",1,0,1,0,0,0,0
10,1651572206707,"03/05/2022 10:03:26",6396668,4,8,"Strongly Agree","statements",21,"A few times a year","A few times a year",36,"Female","A levels",4,"Remain","We are better off together than we are on out on our own","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",7,124,30,"Against","PRO",1,0,1,0,0,1,1
11,1651572209955,"03/05/2022 10:03:29",6396668,4,9,"Strongly Agree","statements",30,"Rarely","Rarely",57,"Female","Vocational Training / Apprenticeship",6,"Remain","Free passage to go and live in other European countries and be able to work there.","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",7,180,30,"Against","PRO",1,0,1,0,0,1,1
12,1651572215172,"03/05/2022 10:03:35",6396668,4,10,"Somewhat Disagree","statements",28,"Rarely","Rarely",48,"Female","A levels",5,"Remain","To allow 'us' to appear stronger (in various ways) to the rest of the world","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",3,167,30,"Against","PRO",1,0,1,0,0,0,0
17,1651572235081,"03/05/2022 10:03:55",6396668,4,15,"Somewhat Agree","statements",27,"Rarely","Most weeks",27,"Female","A levels",5,"Remain","People might not want things to change","Somewhat Agree",NA,"Disagree","Strongly Disagree","Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",5,161,30,"Against","PRO",1,0,1,0,0,0,1
18,1651572237824,"03/05/2022 10:03:57",6396668,4,16,"Strongly Agree","statements",23,"Rarely","Never",50,"Female","Undergraduate degree (BSc, BA)",4,"Remain","Lots of European businesses invest in Britain","Neither Agree nor Disagree",NA,"Disagree","Disagree","Strongly Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,136,30,"Against","PRO",1,0,1,0,0,1,1
20,1651572243233,"03/05/2022 10:04:03",6396668,4,18,"Somewhat Agree","statements",28,"Rarely","Rarely",48,"Female","A levels",6,"Remain","For financial reasons","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",5,168,30,"Against","PRO",1,0,1,0,0,0,1
21,1651572246200,"03/05/2022 10:04:06",6396668,4,19,"Strongly Agree","statements",29,"A few times a year","A few times a year",39,"Male","A levels",4,"Remain","Being in the EU is a good thing","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,172,30,"Against","PRO",1,0,1,0,0,1,1
22,1651572248047,"03/05/2022 10:04:08",6396668,4,20,"Strongly Agree","statements",29,"A few times a year","A few times a year",39,"Male","A levels",6,"Remain","Free movement over boarders","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,174,30,"Against","PRO",1,0,1,0,0,1,1
23,1651572252219,"03/05/2022 10:04:12",6396668,4,21,"Strongly Agree","statements",25,"Once or twice a year","A few times a year",56,"Female","Undergraduate degree (BSc, BA)",4,"Remain","we need to be part of europe and have strong ties with them ","Neither Agree nor Disagree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Anti",7,148,30,"Against","PRO",1,0,1,0,0,1,1
29,1651572272569,"03/05/2022 10:04:32",6396668,4,27,"Agree","statements",24,"A few times a year","Rarely",31,"Female","GCSEs,A levels",6,"Remain","Trade deals already in place ","Agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Anti",6,144,30,"Against","PRO",1,0,1,0,0,1,1
33,1651572292974,"03/05/2022 10:04:52",6396668,4,31,"Strongly Agree","statements",21,"A few times a year","A few times a year",36,"Female","A levels",6,"Remain","The amount of money stated by the government to be saved by braking away is severely overstated ","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",7,126,30,"Against","PRO",1,0,1,0,0,1,1
35,1651572300623,"03/05/2022 10:05:00",6396668,4,33,"Strongly Agree","statements",21,"A few times a year","A few times a year",36,"Female","A levels",5,"Remain","It is better to be part of the European single market for imports and exports ","Agree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Anti",7,125,30,"Against","PRO",1,0,1,0,0,1,1
