"Event.Index","UTC.Timestamp","UTC.Date","Participant.Private.ID","Task.Version","Trial.Number","Response","display","ARGUER_ID","discuss_1","read_1","age","gender","edu","argument_ID","Arg_Position","Arguments","stanely_L","stanley_R","intellectual_R_1","intellectual_R_2","intellectual_R_3","intellectual_L_1","intellectual_L_2","intellectual_L_3","morality_R_1","morality_R_2","morality_R_3","morality_L_1","morality_L_2","morality_L_3","rater_position","response_ratings","argument_index","Rater_ID","argument_Position","Arguer_Position","ITT_Condition_ProArguers","ITT_Condition_AntiArguers","ITT_cond","ITT_Baseline_ProArguers","ITT_Baseline_AntiArguers"
35,1651664185288,"04/05/2022 11:36:25",6404885,4,33,"Strongly Agree","statements",84,"Once or twice a year","Most months",49,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Control of own borders","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,499,181,"For","PRO",0,0,0,1,0
36,1651664187845,"04/05/2022 11:36:27",6404885,4,34,"Neither Agree nor Disagree","statements",81,"Most months","A few times a year",46,"Female","Undergraduate degree (BSc, BA)",2,"Leave","immigration, reducing the need for immagration ","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,482,181,"For","PRO",0,0,0,1,0
38,1651664194424,"04/05/2022 11:36:34",6404885,4,36,"Strongly Agree","statements",87,"Never","Rarely",27,"Female","A levels",3,"Leave","To come out of the EU agreement ","Somewhat Agree",NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,519,181,"For","PRO",0,0,0,1,0
40,1651664202868,"04/05/2022 11:36:42",6404885,4,38,"Agree","statements",84,"Once or twice a year","Most months",49,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Not having to follow eu rules that often benefited other countries","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,500,181,"For","PRO",0,0,0,1,0
42,1651664212509,"04/05/2022 11:36:52",6404885,4,40,"Somewhat Agree","statements",86,"Rarely","A few times a year",61,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I want us to rise or fall by our own decisions/laws.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,512,181,"For","PRO",0,0,0,1,0
45,1651664222589,"04/05/2022 11:37:02",6404885,4,43,"Neither Agree nor Disagree","statements",85,"Rarely","Rarely",39,"Male","Vocational Training / Apprenticeship",2,"Leave","Potentially control our boarders/immigration.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,506,181,"For","PRO",0,0,0,1,0
47,1651664231381,"04/05/2022 11:37:11",6404885,4,45,"Agree","statements",88,"Rarely","Rarely",34,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Better for the UK in the long run","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",6,523,181,"For","PRO",0,0,0,1,0
48,1651664234091,"04/05/2022 11:37:14",6404885,4,46,"Strongly Agree","statements",90,"Rarely","Rarely",42,"Female","A levels",3,"Leave","What to be in control in our own country ","Somewhat Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,537,181,"For","PRO",0,0,0,1,0
49,1651664236056,"04/05/2022 11:37:16",6404885,4,47,"Strongly Agree","statements",85,"Rarely","Rarely",39,"Male","Vocational Training / Apprenticeship",3,"Leave","Take back our country's freedom. ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,507,181,"For","PRO",0,0,0,1,0
51,1651664242393,"04/05/2022 11:37:22",6404885,4,49,"Strongly Agree","statements",82,"Rarely","Once or twice a year",34,"Female","GCSEs",1,"Leave","Being independent as a country","Somewhat Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Pro",7,487,181,"For","PRO",0,0,0,1,0
55,1651664264603,"04/05/2022 11:37:44",6404885,4,53,"Agree","statements",89,"Rarely","A few times a year",41,"Female","GCSEs",1,"Leave","Taking back control of the United Kingdoms borders, as leaving offered the best chances at regaining control","Somewhat Agree",NA,"Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Somewhat Disagree","Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,529,181,"For","PRO",0,0,0,1,0
56,1651664267583,"04/05/2022 11:37:47",6404885,4,54,"Strongly Agree","statements",82,"Rarely","Once or twice a year",34,"Female","GCSEs",3,"Leave","We would be better off out of it","Somewhat Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Pro",7,489,181,"For","PRO",0,0,0,1,0
59,1651664278508,"04/05/2022 11:37:58",6404885,4,57,"Neither Agree nor Disagree","statements",82,"Rarely","Once or twice a year",34,"Female","GCSEs",2,"Leave","Stopping immigrants being in the country","Somewhat Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Pro",4,488,181,"For","PRO",0,0,0,1,0
62,1651664288646,"04/05/2022 11:38:08",6404885,4,60,"Agree","statements",90,"Rarely","Rarely",42,"Female","A levels",1,"Leave","Fed up of us as a country being told what we can and cannot do ","Somewhat Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,535,181,"For","PRO",0,0,0,1,0
63,1651664291523,"04/05/2022 11:38:11",6404885,4,61,"Strongly Agree","statements",84,"Once or twice a year","Most months",49,"Female","Undergraduate degree (BSc, BA)",3,"Leave","More and more bureaucracy in Brussels","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,501,181,"For","PRO",0,0,0,1,0
3,1651664065024,"04/05/2022 11:34:25",6404895,4,1,"Agree","statements",87,"Never","Rarely",27,"Female","A levels",1,"Leave","More control over our country  ","Somewhat Agree",NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,517,182,"For","PRO",0,0,0,1,0
4,1651664071044,"04/05/2022 11:34:31",6404895,4,2,"Agree","statements",90,"Rarely","Rarely",42,"Female","A levels",1,"Leave","Fed up of us as a country being told what we can and cannot do ","Somewhat Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,535,182,"For","PRO",0,0,0,1,0
7,1651664089027,"04/05/2022 11:34:49",6404895,4,5,"Disagree","statements",81,"Most months","A few times a year",46,"Female","Undergraduate degree (BSc, BA)",3,"Leave","cost of living, should reduce the cost of living ","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",2,483,182,"For","PRO",0,0,0,1,0
9,1651664100366,"04/05/2022 11:35:00",6404895,4,7,"Somewhat Agree","statements",84,"Once or twice a year","Most months",49,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Not having to follow eu rules that often benefited other countries","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,500,182,"For","PRO",0,0,0,1,0
13,1651664115714,"04/05/2022 11:35:15",6404895,4,11,"Agree","statements",82,"Rarely","Once or twice a year",34,"Female","GCSEs",1,"Leave","Being independent as a country","Somewhat Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Pro",6,487,182,"For","PRO",0,0,0,1,0
15,1651664119676,"04/05/2022 11:35:19",6404895,4,13,"Somewhat Agree","statements",88,"Rarely","Rarely",34,"Female","Undergraduate degree (BSc, BA)",3,"Leave","A long time coming for UK to enable their own path","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",5,525,182,"For","PRO",0,0,0,1,0
17,1651664126718,"04/05/2022 11:35:26",6404895,4,15,"Somewhat Agree","statements",86,"Rarely","A few times a year",61,"Female","Undergraduate degree (BSc, BA)",3,"Leave","I have concerns about the rise of fascism in some European countries and how they could ultimately influence the EU.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,513,182,"For","PRO",0,0,0,1,0
22,1651664143222,"04/05/2022 11:35:43",6404895,4,20,"Disagree","statements",82,"Rarely","Once or twice a year",34,"Female","GCSEs",2,"Leave","Stopping immigrants being in the country","Somewhat Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Pro",2,488,182,"For","PRO",0,0,0,1,0
27,1651664159761,"04/05/2022 11:35:59",6404895,4,25,"Disagree","statements",84,"Once or twice a year","Most months",49,"Female","Undergraduate degree (BSc, BA)",3,"Leave","More and more bureaucracy in Brussels","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",2,501,182,"For","PRO",0,0,0,1,0
28,1651664162287,"04/05/2022 11:36:02",6404895,4,26,"Somewhat Agree","statements",83,"Never","Never",37,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We would have more freedom to trade","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,494,182,"For","PRO",0,0,0,1,0
30,1651664170240,"04/05/2022 11:36:10",6404895,4,28,"Somewhat Agree","statements",90,"Rarely","Rarely",42,"Female","A levels",3,"Leave","What to be in control in our own country ","Somewhat Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,537,182,"For","PRO",0,0,0,1,0
32,1651664179304,"04/05/2022 11:36:19",6404895,4,30,"Somewhat Agree","statements",81,"Most months","A few times a year",46,"Female","Undergraduate degree (BSc, BA)",1,"Leave","economy that we will be come a stronger nation by leaving ","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,481,182,"For","PRO",0,0,0,1,0
35,1651664186365,"04/05/2022 11:36:26",6404895,4,33,"Agree","statements",85,"Rarely","Rarely",39,"Male","Vocational Training / Apprenticeship",3,"Leave","Take back our country's freedom. ","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,507,182,"For","PRO",0,0,0,1,0
36,1651664188804,"04/05/2022 11:36:28",6404895,4,34,"Neither Agree nor Disagree","statements",90,"Rarely","Rarely",42,"Female","A levels",2,"Leave","Immigration being an issue","Somewhat Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,536,182,"For","PRO",0,0,0,1,0
37,1651664193334,"04/05/2022 11:36:33",6404895,4,35,"Strongly Agree","statements",89,"Rarely","A few times a year",41,"Female","GCSEs",2,"Leave","the European Union is trying to help immigrants to enter United Kingdom which is already very over crowded ","Somewhat Agree",NA,"Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Somewhat Disagree","Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",7,530,182,"For","PRO",0,0,0,1,0
38,1651664196074,"04/05/2022 11:36:36",6404895,4,36,"Somewhat Agree","statements",88,"Rarely","Rarely",34,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Make financial situation in UK better","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",5,524,182,"For","PRO",0,0,0,1,0
43,1651664218440,"04/05/2022 11:36:58",6404895,4,41,"Somewhat Agree","statements",89,"Rarely","A few times a year",41,"Female","GCSEs",1,"Leave","Taking back control of the United Kingdoms borders, as leaving offered the best chances at regaining control","Somewhat Agree",NA,"Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Somewhat Disagree","Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",5,529,182,"For","PRO",0,0,0,1,0
44,1651664221635,"04/05/2022 11:37:01",6404895,4,42,"Somewhat Agree","statements",86,"Rarely","A few times a year",61,"Female","Undergraduate degree (BSc, BA)",2,"Leave","I want us to rise or fall by our own decisions/laws.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,512,182,"For","PRO",0,0,0,1,0
46,1651664228625,"04/05/2022 11:37:08",6404895,4,44,"Neither Agree nor Disagree","statements",87,"Never","Rarely",27,"Female","A levels",3,"Leave","To come out of the EU agreement ","Somewhat Agree",NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,519,182,"For","PRO",0,0,0,1,0
47,1651664230269,"04/05/2022 11:37:10",6404895,4,45,"Somewhat Agree","statements",84,"Once or twice a year","Most months",49,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Control of own borders","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,499,182,"For","PRO",0,0,0,1,0
49,1651664236115,"04/05/2022 11:37:16",6404895,4,47,"Somewhat Agree","statements",83,"Never","Never",37,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Promised more money for NHS","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,493,182,"For","PRO",0,0,0,1,0
52,1651664240217,"04/05/2022 11:37:20",6404895,4,50,"Somewhat Agree","statements",88,"Rarely","Rarely",34,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Better for the UK in the long run","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",5,523,182,"For","PRO",0,0,0,1,0
53,1651664241404,"04/05/2022 11:37:21",6404895,4,51,"Agree","statements",87,"Never","Rarely",27,"Female","A levels",2,"Leave","So we can have independence ","Somewhat Agree",NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,518,182,"For","PRO",0,0,0,1,0
55,1651664245498,"04/05/2022 11:37:25",6404895,4,53,"Agree","statements",85,"Rarely","Rarely",39,"Male","Vocational Training / Apprenticeship",1,"Leave","Set our own rules/policyâs.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,505,182,"For","PRO",0,0,0,1,0
56,1651664247754,"04/05/2022 11:37:27",6404895,4,54,"Somewhat Agree","statements",83,"Never","Never",37,"Female","Undergraduate degree (BSc, BA)",3,"Leave","We would be more self sufficient with stocking our own meat and crops","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",5,495,182,"For","PRO",0,0,0,1,0
57,1651664251131,"04/05/2022 11:37:31",6404895,4,55,"Somewhat Disagree","statements",82,"Rarely","Once or twice a year",34,"Female","GCSEs",3,"Leave","We would be better off out of it","Somewhat Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Pro",3,489,182,"For","PRO",0,0,0,1,0
58,1651664252941,"04/05/2022 11:37:32",6404895,4,56,"Somewhat Agree","statements",85,"Rarely","Rarely",39,"Male","Vocational Training / Apprenticeship",2,"Leave","Potentially control our boarders/immigration.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,506,182,"For","PRO",0,0,0,1,0
60,1651664259291,"04/05/2022 11:37:39",6404895,4,58,"Agree","statements",89,"Rarely","A few times a year",41,"Female","GCSEs",3,"Leave","The U.K economy, I believe the European Union is taking money from The United Kingdom, I think thats what some papers were saying ","Somewhat Agree",NA,"Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Somewhat Disagree","Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",6,531,182,"For","PRO",0,0,0,1,0
61,1651664261771,"04/05/2022 11:37:41",6404895,4,59,"Somewhat Agree","statements",81,"Most months","A few times a year",46,"Female","Undergraduate degree (BSc, BA)",2,"Leave","immigration, reducing the need for immagration ","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,482,182,"For","PRO",0,0,0,1,0
62,1651664271449,"04/05/2022 11:37:51",6404895,4,60,"Somewhat Agree","statements",86,"Rarely","A few times a year",61,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I donât the idea of an exclusive club that excludes countries/peoples.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,511,182,"For","PRO",0,0,0,1,0
4,1651664099037,"04/05/2022 11:34:59",6404892,4,2,"Strongly Disagree","statements",81,"Most months","A few times a year",46,"Female","Undergraduate degree (BSc, BA)",2,"Leave","immigration, reducing the need for immagration ","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",1,482,183,"For","PRO",0,0,0,1,0
5,1651664102607,"04/05/2022 11:35:02",6404892,4,3,"Somewhat Agree","statements",88,"Rarely","Rarely",34,"Female","Undergraduate degree (BSc, BA)",2,"Leave","Make financial situation in UK better","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",5,524,183,"For","PRO",0,0,0,1,0
6,1651664105281,"04/05/2022 11:35:05",6404892,4,4,"Agree","statements",87,"Never","Rarely",27,"Female","A levels",1,"Leave","More control over our country  ","Somewhat Agree",NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",6,517,183,"For","PRO",0,0,0,1,0
7,1651664108406,"04/05/2022 11:35:08",6404892,4,5,"Strongly Disagree","statements",82,"Rarely","Once or twice a year",34,"Female","GCSEs",2,"Leave","Stopping immigrants being in the country","Somewhat Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Pro",1,488,183,"For","PRO",0,0,0,1,0
9,1651664121505,"04/05/2022 11:35:21",6404892,4,7,"Strongly Agree","statements",86,"Rarely","A few times a year",61,"Female","Undergraduate degree (BSc, BA)",1,"Leave","I donât the idea of an exclusive club that excludes countries/peoples.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",7,511,183,"For","PRO",0,0,0,1,0
11,1651664144433,"04/05/2022 11:35:44",6404892,4,9,"Neither Agree nor Disagree","statements",89,"Rarely","A few times a year",41,"Female","GCSEs",3,"Leave","The U.K economy, I believe the European Union is taking money from The United Kingdom, I think thats what some papers were saying ","Somewhat Agree",NA,"Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Somewhat Disagree","Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",4,531,183,"For","PRO",0,0,0,1,0
14,1651664157910,"04/05/2022 11:35:57",6404892,4,12,"Somewhat Agree","statements",81,"Most months","A few times a year",46,"Female","Undergraduate degree (BSc, BA)",3,"Leave","cost of living, should reduce the cost of living ","Somewhat Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,483,183,"For","PRO",0,0,0,1,0
15,1651664161232,"04/05/2022 11:36:01",6404892,4,13,"Strongly Agree","statements",83,"Never","Never",37,"Female","Undergraduate degree (BSc, BA)",2,"Leave","We would have more freedom to trade","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,494,183,"For","PRO",0,0,0,1,0
20,1651664202993,"04/05/2022 11:36:42",6404892,4,18,"Agree","statements",88,"Rarely","Rarely",34,"Female","Undergraduate degree (BSc, BA)",3,"Leave","A long time coming for UK to enable their own path","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",6,525,183,"For","PRO",0,0,0,1,0
23,1651664225472,"04/05/2022 11:37:05",6404892,4,21,"Somewhat Agree","statements",87,"Never","Rarely",27,"Female","A levels",3,"Leave","To come out of the EU agreement ","Somewhat Agree",NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,519,183,"For","PRO",0,0,0,1,0
25,1651664242563,"04/05/2022 11:37:22",6404892,4,23,"Neither Agree nor Disagree","statements",86,"Rarely","A few times a year",61,"Female","Undergraduate degree (BSc, BA)",3,"Leave","I have concerns about the rise of fascism in some European countries and how they could ultimately influence the EU.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",4,513,183,"For","PRO",0,0,0,1,0
26,1651664247708,"04/05/2022 11:37:27",6404892,4,24,"Agree","statements",83,"Never","Never",37,"Female","Undergraduate degree (BSc, BA)",3,"Leave","We would be more self sufficient with stocking our own meat and crops","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",6,495,183,"For","PRO",0,0,0,1,0
27,1651664255143,"04/05/2022 11:37:35",6404892,4,25,"Strongly Disagree","statements",89,"Rarely","A few times a year",41,"Female","GCSEs",2,"Leave","the European Union is trying to help immigrants to enter United Kingdom which is already very over crowded ","Somewhat Agree",NA,"Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Somewhat Disagree","Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",1,530,183,"For","PRO",0,0,0,1,0
31,1651664270208,"04/05/2022 11:37:50",6404892,4,29,"Somewhat Agree","statements",84,"Once or twice a year","Most months",49,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Control of own borders","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,499,183,"For","PRO",0,0,0,1,0
32,1651664272892,"04/05/2022 11:37:52",6404892,4,30,"Somewhat Agree","statements",87,"Never","Rarely",27,"Female","A levels",2,"Leave","So we can have independence ","Somewhat Agree",NA,"Disagree","Disagree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,518,183,"For","PRO",0,0,0,1,0
41,1651664305410,"04/05/2022 11:38:25",6404892,4,39,"Strongly Agree","statements",83,"Never","Never",37,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Promised more money for NHS","Strongly agree",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Pro",7,493,183,"For","PRO",0,0,0,1,0
42,1651664310536,"04/05/2022 11:38:30",6404892,4,40,"Somewhat Agree","statements",82,"Rarely","Once or twice a year",34,"Female","GCSEs",1,"Leave","Being independent as a country","Somewhat Disagree",NA,"Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Disagree",NA,NA,NA,"Pro",5,487,183,"For","PRO",0,0,0,1,0
45,1651664331185,"04/05/2022 11:38:51",6404892,4,43,"Somewhat Agree","statements",84,"Once or twice a year","Most months",49,"Female","Undergraduate degree (BSc, BA)",3,"Leave","More and more bureaucracy in Brussels","Somewhat Agree",NA,"Somewhat Disagree","Somewhat Agree","Somewhat Agree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,501,183,"For","PRO",0,0,0,1,0
46,1651664333642,"04/05/2022 11:38:53",6404892,4,44,"Strongly Disagree","statements",90,"Rarely","Rarely",42,"Female","A levels",2,"Leave","Immigration being an issue","Somewhat Disagree",NA,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree",NA,NA,NA,"Neither Agree nor Disagree","Disagree","Disagree",NA,NA,NA,"Pro",1,536,183,"For","PRO",0,0,0,1,0
47,1651664338924,"04/05/2022 11:38:58",6404892,4,45,"Somewhat Agree","statements",89,"Rarely","A few times a year",41,"Female","GCSEs",1,"Leave","Taking back control of the United Kingdoms borders, as leaving offered the best chances at regaining control","Somewhat Agree",NA,"Disagree","Neither Agree nor Disagree","Disagree",NA,NA,NA,"Somewhat Disagree","Disagree","Neither Agree nor Disagree",NA,NA,NA,"Pro",5,529,183,"For","PRO",0,0,0,1,0
48,1651664342881,"04/05/2022 11:39:02",6404892,4,46,"Neither Agree nor Disagree","statements",88,"Rarely","Rarely",34,"Female","Undergraduate degree (BSc, BA)",1,"Leave","Better for the UK in the long run","Agree",NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",NA,NA,NA,"Pro",4,523,183,"For","PRO",0,0,0,1,0
50,1651664349531,"04/05/2022 11:39:09",6404892,4,48,"Strongly Disagree","statements",85,"Rarely","Rarely",39,"Male","Vocational Training / Apprenticeship",2,"Leave","Potentially control our boarders/immigration.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",1,506,183,"For","PRO",0,0,0,1,0
52,1651664363095,"04/05/2022 11:39:23",6404892,4,50,"Somewhat Agree","statements",85,"Rarely","Rarely",39,"Male","Vocational Training / Apprenticeship",1,"Leave","Set our own rules/policyâs.","Agree",NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Disagree","Disagree","Disagree",NA,NA,NA,"Pro",5,505,183,"For","PRO",0,0,0,1,0
